Start Time,End Time,Tag,Note,Tree Type,Is Success
Mon Jun 17 01:51:28 GMT+08:00 2019,Mon Jun 17 02:11:28 GMT+08:00 2019,Guitar,,Ball Cactus,TRUE
Mon Jun 17 17:30:37 GMT+08:00 2019,Mon Jun 17 18:10:37 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jun 17 18:34:08 GMT+08:00 2019,Mon Jun 17 19:34:08 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jun 17 19:47:12 GMT+08:00 2019,Mon Jun 17 20:17:12 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jun 17 21:02:00 GMT+08:00 2019,Mon Jun 17 21:47:00 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Mon Jun 17 22:13:17 GMT+08:00 2019,Mon Jun 17 22:53:17 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Mon Jun 17 23:06:15 GMT+08:00 2019,Mon Jun 17 23:36:15 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Jun 18 00:14:53 GMT+08:00 2019,Tue Jun 18 00:39:53 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Jun 18 10:09:08 GMT+08:00 2019,Tue Jun 18 10:54:08 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Jun 18 13:46:17 GMT+08:00 2019,Tue Jun 18 14:31:17 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Jun 18 16:23:23 GMT+08:00 2019,Tue Jun 18 16:58:23 GMT+08:00 2019,Unset,,Bamboo,TRUE
Tue Jun 18 19:32:01 GMT+08:00 2019,Tue Jun 18 20:17:01 GMT+08:00 2019,Unset,,Bamboo,TRUE
Tue Jun 18 20:50:56 GMT+08:00 2019,Tue Jun 18 21:35:56 GMT+08:00 2019,Unset,,Bamboo,TRUE
Tue Jun 18 21:46:07 GMT+08:00 2019,Tue Jun 18 22:16:07 GMT+08:00 2019,Unset,,Bamboo,TRUE
Wed Jun 19 11:01:02 GMT+08:00 2019,Wed Jun 19 11:36:02 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Wed Jun 19 11:56:01 GMT+08:00 2019,Wed Jun 19 12:26:01 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Wed Jun 19 20:03:28 GMT+08:00 2019,Wed Jun 19 20:38:28 GMT+08:00 2019,Unset,,Bamboo,TRUE
Wed Jun 19 21:12:58 GMT+08:00 2019,Wed Jun 19 21:42:58 GMT+08:00 2019,Unset,,Bamboo,TRUE
